latitude,longitude,address,datetime,datetimeEpoch,tempmax,tempmin,temp,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,description,date,pm25,pm10,o3,no2,so2,co,City
0,43.2934,5.37132,Marseille,2015-01-01,1420066800,9.2,0.1,4.2,72.63,0.2,4.17,,,21.3,17.8,1033.4,31.6,10.8,,,0.0,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,2015-01-01,108.0,32.0,,,,,Marseille
1,43.2934,5.37132,Marseille,2015-01-02,1420153200,12.9,-1.3,6.1,63.6,0.2,4.17,,,56.4,43.3,1032.8,9.9,12.2,,,0.0,Rain,Clear conditions throughout the day with afternoon rain.,2015-01-02,83.0,14.0,,,,,Marseille
2,43.2934,5.37132,Marseille,2015-01-03,1420239600,15.6,8.1,11.5,70.49,0.0,0.0,,,51.4,35.3,1029.5,9.1,20.0,,,0.0,Clear,Clear conditions throughout the day.,2015-01-03,49.0,10.0,,,,,Marseille
3,43.2934,5.37132,Marseille,2015-01-04,1420326000,16.1,8.9,12.3,64.23,0.0,0.0,,,63.0,41.6,1027.5,8.0,20.0,,,0.0,Clear,Clear conditions throughout the day.,2015-01-04,33.0,31.0,,,,,Marseille
4,43.2934,5.37132,Marseille,2015-01-05,1420412400,13.0,0.9,5.9,74.32,0.0,0.0,,,23.1,12.7,1028.9,1.5,17.6,,,0.0,Clear,Clear conditions throughout the day.,2015-01-05,70.0,45.0,,,,,Marseille
5,43.2934,5.37132,Marseille,2015-01-06,1420498800,11.3,-0.4,4.2,73.44,0.04,4.17,,,11.5,9.0,1024.7,0.30000000000000004,19.6,,,0.0,Rain,Clear conditions throughout the day with morning rain.,2015-01-06,99.0,52.0,,,,,Marseille
6,43.2934,5.37132,Marseille,2015-01-07,1420585200,11.1,-1.2,3.6,78.02,0.02,4.17,,,18.5,10.5,1028.8,14.5,15.0,,,0.0,Rain,Clear conditions throughout the day with morning rain.,2015-01-07,108.0,42.0,,,,,Marseille
7,43.2934,5.37132,Marseille,2015-01-08,1420671600,12.3,-0.30000000000000004,4.8,79.75,0.06,8.33,,,20.5,10.1,1034.1,11.7,12.1,,,0.0,Rain,Clear conditions throughout the day with rain clearing later.,2015-01-08,98.0,21.0,,,,,Marseille
8,43.2934,5.37132,Marseille,2015-01-09,1420758000,14.4,7.2,10.9,65.15,0.0,0.0,,,51.2,40.7,1035.2,24.3,37.8,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2015-01-09,53.0,19.0,,,,,Marseille
9,43.2934,5.37132,Marseille,2015-01-10,1420844400,17.6,8.9,12.2,76.58,0.0,0.0,,,35.7,24.5,1028.4,0.30000000000000004,38.2,,,0.0,Clear,Clear conditions throughout the day.,2015-01-10,47.0,15.0,,,,,Marseille
