latitude,longitude,address,datetime,datetimeEpoch,tempmax,tempmin,temp,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,description,date,pm25,pm10,o3,no2,so2,co,City
0,48.8572,2.34141,Paris,2014-01-01,1388530800,10.5,6.7,8.4,85.06,1.82,16.67,,1.0,65.2,28.9,1006.1,26.7,24.8,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,2014-01-01,43.0,30.0,22.0,42.0,,4.0,Paris
1,48.8572,2.34141,Paris,2014-01-02,1388617200,11.1,8.5,9.9,81.63,4.96,20.83,,1.0,60.2,29.2,1001.7,19.7,24.3,,,0.0,Rain,Clear conditions throughout the day with rain clearing later.,2014-01-02,53.0,33.0,22.0,34.0,,2.0,Paris
2,48.8572,2.34141,Paris,2014-01-03,1388703600,13.4,8.5,11.0,76.53,0.14,4.17,,1.0,64.0,29.2,1006.0,20.1,20.4,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,2014-01-03,50.0,28.0,23.0,41.0,,3.0,Paris
3,48.8572,2.34141,Paris,2014-01-04,1388790000,12.4,7.6,9.1,80.53,0.67,8.33,,1.0,45.7,21.5,1001.5,22.2,21.6,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,2014-01-04,52.0,23.0,19.0,34.0,,3.0,Paris
4,48.8572,2.34141,Paris,2014-01-05,1388876400,8.9,4.6,6.9,82.81,1.25,12.5,,,52.5,22.8,1007.5,22.8,24.0,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,2014-01-05,45.0,20.0,20.0,30.0,,3.0,Paris
5,48.8572,2.34141,Paris,2014-01-06,1388962800,13.2,8.4,11.8,83.6,0.37,29.17,,,59.5,27.2,1006.7,27.0,24.2,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,2014-01-06,40.0,32.0,18.0,40.0,,5.0,Paris
6,48.8572,2.34141,Paris,2014-01-07,1389049200,13.2,9.7,11.1,82.98,0.04,4.17,,,40.8,21.4,1013.3,24.3,24.0,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,2014-01-07,54.0,41.0,12.0,51.0,,6.0,Paris
7,48.8572,2.34141,Paris,2014-01-08,1389135600,13.7,8.3,11.1,84.93,0.44,16.67,,,33.3,17.3,1017.9,16.8,22.8,,,0.0,Rain,Clear conditions throughout the day with rain.,2014-01-08,76.0,30.0,15.0,40.0,,4.0,Paris
8,48.8572,2.34141,Paris,2014-01-09,1389222000,11.5,7.0,10.4,79.58,0.2,8.33,,,50.4,24.9,1013.5,22.4,25.0,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,2014-01-09,55.0,43.0,9.0,49.0,,6.0,Paris
9,48.8572,2.34141,Paris,2014-01-10,1389308400,7.0,4.6,5.9,90.17,0.0,0.0,,,22.5,11.2,1019.0,20.5,15.9,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2014-01-10,70.0,54.0,6.0,58.0,,9.0,Paris
10,48.8572,2.34141,Paris,2014-01-11,1389394800,8.7,3.7,6.4,93.28,0.35000000000000003,25.0,,,24.3,10.5,1020.2,17.7,7.4,,,0.0,Rain,Clear conditions throughout the day with rain clearing later.,2014-01-11,112.0,42.0,6.0,37.0,,5.0,Paris
11,48.8572,2.34141,Paris,2014-01-12,1389481200,6.5,2.2,4.3,96.9,0.0,0.0,,,30.1,14.8,1021.1,13.6,4.0,,,0.0,Clear,Clear conditions throughout the day.,2014-01-12,91.0,39.0,15.0,51.0,,6.0,Paris
12,48.8572,2.34141,Paris,2014-01-13,1389567600,10.2,6.1,7.8,87.87,0.62,4.35,,,30.9,13.9,1012.2,18.0,19.1,,,0.0,Rain,Clear conditions throughout the day with afternoon rain.,2014-01-13,72.0,36.0,16.0,56.0,,6.0,Paris
13,48.8572,2.34141,Paris,2014-01-14,1389654000,7.9,3.0,5.8,81.52,0.30000000000000004,21.74,,,41.3,19.3,1007.0,16.5,22.8,,,0.0,Rain,Clear conditions throughout the day with rain clearing later.,2014-01-14,62.0,28.0,15.0,48.0,,5.0,Paris
14,48.8572,2.34141,Paris,2014-01-15,1389740400,8.6,3.0,5.8,93.59,2.17,41.67,,,39.9,18.6,1007.9,27.0,13.8,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,2014-01-15,66.0,23.0,21.0,46.0,,5.0,Paris
15,48.8572,2.34141,Paris,2014-01-16,1389826800,9.6,8.0,8.5,89.04,5.43,37.5,,,45.9,22.9,999.5,26.8,22.2,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,2014-01-16,50.0,31.0,15.0,49.0,,5.0,Paris
16,48.8572,2.34141,Paris,2014-01-17,1389913200,11.4,6.2,8.1,77.29,3.18,8.33,,,56.2,24.6,999.1,19.8,26.9,,,0.0,Rain,Clear conditions throughout the day with morning rain.,2014-01-17,59.0,36.0,6.0,47.0,,6.0,Paris
17,48.8572,2.34141,Paris,2014-01-18,1389999600,10.9,3.7,6.9,76.87,0.0,0.0,,,23.9,13.4,996.5,19.1,23.9,,,0.0,Clear,Clear conditions throughout the day.,2014-01-18,73.0,38.0,14.0,54.0,,6.0,Paris
18,48.8572,2.34141,Paris,2014-01-19,1390086000,9.3,6.5,7.4,85.33,1.34,16.67,,,18.3,9.2,997.4,25.8,17.5,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,2014-01-19,81.0,47.0,5.0,60.0,,8.0,Paris
19,48.8572,2.34141,Paris,2014-01-20,1390172400,7.5,5.3,6.5,81.86,0.6900000000000001,12.5,,,23.6,12.1,1007.6,26.1,19.2,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,2014-01-20,79.0,35.0,14.0,44.0,,5.0,Paris
20,48.8572,2.34141,Paris,2014-01-21,1390258800,4.5,1.8,3.1,91.6,0.0,0.0,,,30.8,16.5,1014.4,19.1,13.3,,,0.0,Clear,Clear conditions throughout the day.,2014-01-21,65.0,79.0,8.0,46.0,,6.0,Paris
21,48.8572,2.34141,Paris,2014-01-22,1390345200,4.7,1.3,3.2,88.95,1.34,33.33,,,30.6,16.0,1011.9,27.0,14.4,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,2014-01-22,80.0,36.0,15.0,51.0,,5.0,Paris
22,48.8572,2.34141,Paris,2014-01-23,1390431600,8.6,4.5,6.3,89.29,1.69,37.5,,,41.6,19.3,1015.4,22.6,16.1,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,2014-01-23,68.0,45.0,10.0,57.0,,7.0,Paris
23,48.8572,2.34141,Paris,2014-01-24,1390518000,7.5,4.6,5.8,82.66,0.0,0.0,,,26.7,12.4,1016.9,26.1,26.1,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2014-01-24,72.0,32.0,25.0,41.0,,4.0,Paris
24,48.8572,2.34141,Paris,2014-01-25,1390604400,9.8,3.2,5.5,87.89,0.9,29.17,,,53.6,19.4,1017.6,27.1,17.0,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,2014-01-25,66.0,33.0,26.0,39.0,,3.0,Paris
25,48.8572,2.34141,Paris,2014-01-26,1390690800,10.1,4.4,7.1,82.9,9.23,29.17,,,54.3,27.5,1009.7,19.1,19.5,,,0.0,Rain,Clear conditions throughout the day with rain.,2014-01-26,56.0,27.0,22.0,41.0,,4.0,Paris
26,48.8572,2.34141,Paris,2014-01-27,1390777200,7.7,3.4,5.1,76.8,0.32,12.5,,,56.8,23.9,998.8,18.4,39.2,,,0.0,Rain,Clear conditions throughout the day with rain.,2014-01-27,46.0,30.0,15.0,44.0,,4.0,Paris
