latitude,longitude,address,datetime,datetimeEpoch,tempmax,tempmin,temp,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,description,date,pm25,pm10,o3,no2,so2,co,City
0,45.7592,4.8296600000000005,Lyon,2014-01-01,1388530800,11.9,8.2,9.8,68.37,0.33,8.33,,,67.3,42.0,1014.5,70.2,55.1,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,2014-01-01,26.0,10.0,23.0,14.0,,,Lyon
1,45.7592,4.8296600000000005,Lyon,2014-01-02,1388617200,12.1,8.4,10.5,78.29,11.94,37.5,,,71.9,35.5,1010.2,59.2,46.5,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,2014-01-02,31.0,11.0,10.0,15.0,,,Lyon
2,45.7592,4.8296600000000005,Lyon,2014-01-03,1388703600,10.7,8.5,10.0,86.57,15.77,58.33,,,52.5,25.4,1015.3,88.8,30.3,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,2014-01-03,36.0,7.0,15.0,11.0,,,Lyon
3,45.7592,4.8296600000000005,Lyon,2014-01-04,1388790000,11.6,5.3,9.5,86.54,19.85,66.67,,,64.1,31.4,1007.3,88.4,33.2,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,2014-01-04,23.0,10.0,20.0,15.0,,,Lyon
4,45.7592,4.8296600000000005,Lyon,2014-01-05,1388876400,9.6,1.1,5.3,83.87,14.64,25.0,,,28.5,14.3,1014.0,69.0,29.0,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,2014-01-05,33.0,15.0,17.0,16.0,1.0,,Lyon
5,45.7592,4.8296600000000005,Lyon,2014-01-06,1388962800,13.7,3.3,8.3,65.22,0.0,0.0,,,65.1,38.9,1016.3,71.8,47.7,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2014-01-06,45.0,9.0,20.0,10.0,1.0,,Lyon
6,45.7592,4.8296600000000005,Lyon,2014-01-07,1389049200,14.7,10.8,12.4,65.89,0.0,0.0,,,68.5,39.6,1019.6,73.5,53.4,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2014-01-07,24.0,12.0,21.0,11.0,1.0,,Lyon
7,45.7592,4.8296600000000005,Lyon,2014-01-08,1389135600,15.6,11.6,12.9,66.29,0.0,0.0,,,55.1,32.5,1022.6,50.1,53.5,,,0.0,Partially cloudy,Clearing in the afternoon.,2014-01-08,34.0,14.0,24.0,15.0,5.0,,Lyon
8,45.7592,4.8296600000000005,Lyon,2014-01-09,1389222000,13.4,9.7,12.0,65.3,0.0,0.0,,,53.1,30.5,1019.2,81.9,53.7,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2014-01-09,38.0,31.0,9.0,23.0,,,Lyon
9,45.7592,4.8296600000000005,Lyon,2014-01-10,1389308400,12.1,4.4,7.2,86.18,0.0,4.17,,,12.1,6.3,1020.0,42.8,11.9,,,0.0,Partially cloudy,Clearing in the afternoon.,2014-01-10,75.0,34.0,11.0,,1.0,,Lyon
10,45.7592,4.8296600000000005,Lyon,2014-01-11,1389394800,11.9,4.1,8.5,81.74,0.0,0.0,,,38.4,22.1,1020.5,74.0,22.0,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2014-01-11,93.0,35.0,5.0,,,,Lyon
11,45.7592,4.8296600000000005,Lyon,2014-01-12,1389481200,8.4,3.9,5.8,92.52,0.0,0.0,,,16.0,10.0,1022.8,39.3,4.6,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2014-01-12,100.0,38.0,,,1.0,,Lyon
12,45.7592,4.8296600000000005,Lyon,2014-01-13,1389567600,8.4,2.3,5.8,93.59,16.02,56.52,,,31.1,13.5,1016.6,71.2,6.2,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,2014-01-13,99.0,13.0,6.0,23.0,1.0,,Lyon
13,45.7592,4.8296600000000005,Lyon,2014-01-14,1389654000,8.9,2.5,5.5,89.8,9.45,47.83,,,18.7,8.4,1010.8,69.7,20.3,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,2014-01-14,43.0,20.0,10.0,22.0,,,Lyon
14,45.7592,4.8296600000000005,Lyon,2014-01-15,1389740400,6.8,-0.5,3.3,87.68,0.0,0.0,,,21.1,10.3,1014.6,53.6,16.5,,,0.0,Partially cloudy,Becoming cloudy in the afternoon.,2014-01-15,57.0,11.0,14.0,20.0,,,Lyon
15,45.7592,4.8296600000000005,Lyon,2014-01-16,1389826800,10.1,5.5,8.4,75.6,10.58,37.5,,,44.1,22.4,1007.0,95.5,39.4,,,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain.,2014-01-16,29.0,14.0,12.0,23.0,,,Lyon
16,45.7592,4.8296600000000005,Lyon,2014-01-17,1389913200,12.0,4.9,7.5,82.63,5.69,33.33,,,24.7,13.3,1004.9,38.4,44.0,,,0.0,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,2014-01-17,37.0,10.0,19.0,13.0,1.0,,Lyon
17,45.7592,4.8296600000000005,Lyon,2014-01-18,1389999600,12.5,5.1,8.2,73.13,0.05,12.5,,,41.6,24.7,999.9,82.0,42.9,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,2014-01-18,22.0,15.0,12.0,15.0,1.0,,Lyon
18,45.7592,4.8296600000000005,Lyon,2014-01-19,1390086000,8.3,6.5,7.3,89.14,18.46,83.33,,,24.1,12.7,998.0,95.5,16.9,,,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,2014-01-19,46.0,7.0,17.0,12.0,,,Lyon
19,45.7592,4.8296600000000005,Lyon,2014-01-20,1390172400,6.8,5.0,5.9,84.15,11.14,75.0,,,35.5,21.6,1006.4,95.6,34.5,,,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,2014-01-20,18.0,13.0,16.0,11.0,,,Lyon
20,45.7592,4.8296600000000005,Lyon,2014-01-21,1390258800,5.7,3.6,5.0,79.24,2.83,16.67,,,27.3,16.9,1014.3,94.8,28.9,,,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,2014-01-21,33.0,20.0,13.0,16.0,,,Lyon
