datetime,pm25,pm10,o3,no2
0,2014-01-01,26.0,10.0,23.0,14.0
1,2014-01-02,31.0,11.0,10.0,15.0
2,2014-01-03,36.0,7.0,15.0,11.0
3,2014-01-04,23.0,10.0,20.0,15.0
4,2014-01-05,33.0,15.0,17.0,16.0
5,2014-01-06,45.0,9.0,20.0,10.0
6,2014-01-07,24.0,12.0,21.0,11.0
7,2014-01-08,34.0,14.0,24.0,15.0
8,2014-01-09,38.0,31.0,9.0,23.0
9,2014-01-10,75.0,34.0,11.0,17.321428571428573
10,2014-01-11,93.0,35.0,5.0,17.321428571428573
11,2014-01-12,100.0,38.0,14.566666666666666,17.321428571428573
12,2014-01-13,99.0,13.0,6.0,23.0
13,2014-01-14,43.0,20.0,10.0,22.0
14,2014-01-15,57.0,11.0,14.0,20.0
15,2014-01-16,29.0,14.0,12.0,23.0
16,2014-01-17,37.0,10.0,19.0,13.0
17,2014-01-18,22.0,15.0,12.0,15.0
18,2014-01-19,46.0,7.0,17.0,12.0
19,2014-01-20,18.0,13.0,16.0,11.0
20,2014-01-21,33.0,20.0,13.0,16.0
21,2014-01-22,58.0,41.0,12.0,25.0
22,2014-01-23,95.0,17.178571428571427,17.0,18.0
23,2014-01-24,46.535714285714285,17.178571428571427,9.0,23.0
24,2014-01-25,46.535714285714285,17.178571428571427,13.0,20.0
25,2014-01-26,46.535714285714285,14.0,21.0,20.0
26,2014-01-27,30.0,19.0,14.0,23.0
27,2014-01-28,52.0,8.0,18.0,12.0
28,2014-01-29,15.0,19.0,13.0,23.0
29,2014-01-30,49.0,20.0,10.0,21.0
30,2014-01-31,62.0,11.0,16.0,15.0
31,2014-02-01,33.0,10.0,20.0,8.0
32,2014-02-02,22.0,19.0,14.0,18.0
33,2014-02-03,43.0,11.0,18.0,17.0
34,2014-02-04,25.0,8.0,24.0,14.0
35,2014-02-05,19.0,16.0,20.0,15.0
36,2014-02-06,38.0,10.0,25.0,18.0
37,2014-02-07,23.0,11.0,18.0,13.0
38,2014-02-08,27.0,8.0,24.0,7.0
39,2014-02-09,13.0,7.0,24.0,16.0
40,2014-02-10,15.0,15.0,17.0,21.0
41,2014-02-11,31.0,11.0,15.0,15.0
42,2014-02-12,27.0,9.0,22.0,11.0
43,2014-02-13,19.0,12.0,19.0,19.0
44,2014-02-14,29.0,8.0,21.0,7.0
45,2014-02-15,16.0,7.0,19.0,11.0
46,2014-02-16,16.0,23.0,13.0,23.0
47,2014-02-17,60.0,32.0,5.0,28.0
48,2014-02-18,73.0,19.0,18.0,19.0
49,2014-02-19,42.0,17.0,15.0,20.0
50,2014-02-20,39.0,15.0,14.0,22.0
51,2014-02-21,50.0,15.0,19.0,21.0
52,2014-02-22,46.0,18.0,23.0,20.0
53,2014-02-23,53.0,13.0,28.0,10.0
54,2014-02-24,35.0,12.0,27.0,9.0
55,2014-02-25,30.0,10.0,25.0,19.0
56,2014-02-26,32.0,21.0,13.0,21.0
57,2014-02-27,61.0,11.0,16.0,21.0
58,2014-02-28,39.0,8.0,18.0,12.0
59,2014-03-01,32.0,13.0,23.0,8.0
60,2014-03-02,50.0,13.0,22.0,17.0
61,2014-03-03,40.0,7.0,27.0,9.0
62,2014-03-04,19.0,17.0,26.0,10.0
63,2014-03-05,52.0,25.0,24.0,10.0
64,2014-03-06,72.0,45.0,21.0,24.0
65,2014-03-07,121.0,48.0,24.0,23.0
66,2014-03-08,128.0,41.0,34.0,30.0
67,2014-03-09,110.0,39.0,32.0,29.0
68,2014-03-10,99.0,51.0,19.0,27.0
69,2014-03-11,132.0,61.0,27.0,29.0
70,2014-03-12,152.0,61.0,28.0,33.0
71,2014-03-13,151.0,66.0,32.0,32.0
72,2014-03-14,159.0,60.0,30.0,20.0
73,2014-03-15,149.0,38.0,29.0,7.0
74,2014-03-16,101.0,22.0,29.0,17.0
75,2014-03-17,58.0,33.0,28.0,22.0
76,2014-03-18,78.0,18.0,29.0,7.0
77,2014-03-19,45.0,26.0,33.0,17.0
78,2014-03-20,62.0,34.0,34.0,11.0
79,2014-03-21,70.0,14.0,32.0,11.0
80,2014-03-22,39.0,8.0,25.0,10.0
81,2014-03-23,23.0,7.0,24.0,12.0
82,2014-03-24,22.0,20.0,21.0,24.0
83,2014-03-25,57.0,20.0,28.0,14.0
84,2014-03-26,59.0,22.0,30.0,16.0
85,2014-03-27,66.0,28.0,28.0,23.0
86,2014-03-28,70.0,19.0,31.0,18.0
87,2014-03-29,52.0,31.0,26.0,24.0
88,2014-03-30,69.0,24.0,32.0,17.0
89,2014-03-31,54.0,42.0,28.0,14.0
90,2014-04-01,68.0,38.0,32.0,8.0
91,2014-04-02,52.0,42.0,27.0,31.0
92,2014-04-03,61.0,30.0,28.0,17.0
93,2014-04-04,57.0,11.0,22.0,6.0
94,2014-04-05,34.0,14.0,32.0,8.0
95,2014-04-06,36.0,22.0,31.0,16.0
96,2014-04-07,49.0,14.0,28.0,10.0
97,2014-04-08,31.0,12.0,27.0,7.0
98,2014-04-09,30.0,11.0,29.0,12.0
99,2014-04-10,32.0,24.0,32.0,22.0
100,2014-04-11,58.0,28.0,41.0,9.0
101,2014-04-12,70.0,24.0,42.0,5.0
102,2014-04-13,64.0,15.0,36.0,7.0
103,2014-04-14,45.0,19.0,34.0,5.0
104,2014-04-15,37.0,17.0,33.0,6.0
105,2014-04-16,42.0,20.0,35.0,15.0
