datetime,pm25,pm10,o3,no2
0,2014-01-01,43.0,30.0,22.0,42.0
1,2014-01-02,53.0,33.0,22.0,34.0
2,2014-01-03,50.0,28.0,23.0,41.0
3,2014-01-04,52.0,23.0,19.0,34.0
4,2014-01-05,45.0,20.0,20.0,30.0
5,2014-01-06,40.0,32.0,18.0,40.0
6,2014-01-07,54.0,41.0,12.0,51.0
7,2014-01-08,76.0,30.0,15.0,40.0
8,2014-01-09,55.0,43.0,9.0,49.0
9,2014-01-10,70.0,54.0,6.0,58.0
10,2014-01-11,112.0,42.0,6.0,37.0
11,2014-01-12,91.0,39.0,15.0,51.0
12,2014-01-13,72.0,36.0,16.0,56.0
13,2014-01-14,62.0,28.0,15.0,48.0
14,2014-01-15,66.0,23.0,21.0,46.0
15,2014-01-16,50.0,31.0,15.0,49.0
16,2014-01-17,59.0,36.0,6.0,47.0
17,2014-01-18,73.0,38.0,14.0,54.0
18,2014-01-19,81.0,47.0,5.0,60.0
19,2014-01-20,79.0,35.0,14.0,44.0
20,2014-01-21,65.0,79.0,8.0,46.0
21,2014-01-22,80.0,36.0,15.0,51.0
22,2014-01-23,68.0,45.0,10.0,57.0
23,2014-01-24,72.0,32.0,25.0,41.0
24,2014-01-25,66.0,33.0,26.0,39.0
25,2014-01-26,56.0,27.0,22.0,41.0
26,2014-01-27,46.0,30.0,15.0,44.0
27,2014-01-28,56.0,35.0,10.0,48.0
28,2014-01-29,74.0,46.0,3.0,49.0
29,2014-01-30,85.0,43.0,17.0,45.0
30,2014-01-31,87.0,26.0,20.0,44.0
31,2014-02-01,54.0,37.0,18.0,42.0
32,2014-02-02,68.0,41.0,18.0,45.0
33,2014-02-03,76.0,32.0,17.0,43.0
34,2014-02-04,52.0,27.0,22.0,37.0
35,2014-02-05,47.0,34.0,17.0,46.0
36,2014-02-06,58.0,30.0,24.0,37.0
37,2014-02-07,48.0,18.0,24.0,28.0
38,2014-02-08,36.0,20.0,25.0,27.0
39,2014-02-09,41.0,33.0,20.0,44.0
40,2014-02-10,56.0,68.0,17.0,40.0
41,2014-02-11,51.0,30.0,21.0,38.0
42,2014-02-12,54.0,29.0,19.0,48.0
43,2014-02-13,55.0,28.0,28.0,47.0
44,2014-02-14,57.0,26.0,25.0,28.0
45,2014-02-15,43.0,26.0,21.0,33.0
46,2014-02-16,50.0,39.0,25.0,51.0
47,2014-02-17,69.0,44.0,11.0,49.0
48,2014-02-18,82.0,74.0,15.0,53.0
49,2014-02-19,67.0,22.0,22.0,41.0
50,2014-02-20,54.0,26.0,23.0,44.0
51,2014-02-21,45.0,30.0,19.0,45.0
52,2014-02-22,66.0,33.0,24.0,39.0
53,2014-02-23,62.0,40.0,20.0,54.0
54,2014-02-24,76.0,27.0,23.0,44.0
55,2014-02-25,53.0,41.0,18.0,53.0
56,2014-02-26,65.0,31.0,17.0,52.0
57,2014-02-27,60.0,30.0,16.0,57.0
58,2014-02-28,61.0,40.0,18.0,60.0
59,2014-03-01,87.0,45.0,24.0,47.0
60,2014-03-02,100.0,25.0,21.0,50.0
61,2014-03-03,53.0,44.0,15.0,65.0
62,2014-03-04,78.0,80.0,22.0,72.0
63,2014-03-05,97.0,64.0,20.0,70.0
64,2014-03-06,123.0,66.0,20.0,67.0
65,2014-03-07,132.0,67.0,25.0,58.0
66,2014-03-08,145.0,63.0,28.0,61.0
67,2014-03-09,119.0,71.0,27.0,68.0
68,2014-03-10,138.0,80.0,13.0,44.0
69,2014-03-11,164.0,86.0,22.0,67.0
70,2014-03-12,166.0,91.0,23.0,84.0
71,2014-03-13,168.0,98.0,15.0,71.0
72,2014-03-14,177.0,64.0,23.0,40.0
73,2014-03-15,113.0,42.0,25.0,40.0
74,2014-03-16,67.0,81.0,15.0,46.0
75,2014-03-17,81.0,42.0,24.0,43.0
76,2014-03-18,74.0,51.0,22.0,53.0
77,2014-03-19,64.0,56.0,31.0,52.0
78,2014-03-20,69.0,34.0,27.0,47.0
79,2014-03-21,56.0,24.0,27.0,39.0
80,2014-03-22,40.0,23.0,25.0,40.0
81,2014-03-23,41.0,44.0,17.0,60.0
82,2014-03-24,72.0,37.0,16.0,54.0
83,2014-03-25,77.0,53.0,21.0,53.0
84,2014-03-26,99.0,54.0,25.0,63.0
85,2014-03-27,114.0,59.0,31.0,63.0
86,2014-03-28,123.0,60.0,33.0,55.0
87,2014-03-29,95.0,59.0,24.0,66.0
88,2014-03-30,92.0,61.0,22.0,66.0
89,2014-03-31,99.0,64.0,29.0,65.0
90,2014-04-01,96.0,59.0,17.0,59.0
91,2014-04-02,88.0,59.0,23.0,58.0
92,2014-04-03,81.0,82.0,20.0,56.0
93,2014-04-04,81.0,44.0,47.0,50.0
94,2014-04-05,68.0,34.0,16.0,32.0
95,2014-04-06,46.0,46.0,28.0,35.0
96,2014-04-07,54.0,32.0,29.0,49.0
97,2014-04-08,45.0,48.0,24.0,60.0
98,2014-04-09,69.0,64.0,26.0,69.0
99,2014-04-10,89.0,70.0,31.0,56.0
100,2014-04-11,101.0,66.0,36.0,50.0
101,2014-04-12,102.0,39.0,30.0,47.0
102,2014-04-13,62.0,57.0,32.0,45.0
103,2014-04-14,63.0,70.0,30.0,57.0
104,2014-04-15,64.0,55.0,34.0,59.0
105,2014-04-16,74.0,59.0,38.0,62.0
106,2014-04-17,67.0,69.0,31.0,45.0
107,2014-04-18,64.0,92.0,28.0,47.0
108,2014-04-19,64.0,61.0,34.0,46.0
109,2014-04-20,69.0,45.0,35.0,56.0
110,2014-04-21,63.0,51.0,30.0,55.0
111,2014-04-22,72.0,45.0,33.0,55.0
112,2014-04-23,74.0,62.0,27.0,58.0
113,2014-04-24,99.0,46.0,23.0,49.0
114,2014-04-25,101.0,29.0,17.0,43.0
115,2014-04-26,65.0,23.0,29.0,35.0
116,2014-04-27,47.0,31.0,23.0,47.0
117,2014-04-28,62.0,39.0,19.0,54.0
118,2014-04-29,74.0,80.0,24.0,56.0
119,2014-04-30,88.0,31.0,19.0,40.0
120,2014-05-01,67.0,40.0,30.0,38.0
121,2014-05-02,74.0,38.0,34.0,43.0
122,2014-05-03,60.0,47.0,39.0,56.0
123,2014-05-04,81.0,52.0,39.0,69.0
124,2014-05-05,82.0,39.0,31.0,47.0
125,2014-05-06,58.0,68.0,25.0,44.0
126,2014-05-07,48.0,26.0,25.0,26.0
127,2014-05-08,38.0,31.0,29.0,35.0
128,2014-05-09,43.0,26.0,27.0,32.0
129,2014-05-10,49.0,32.0,29.0,28.0
130,2014-05-11,35.0,61.0,21.0,41.0
131,2014-05-12,39.0,28.0,23.0,41.0
132,2014-05-13,45.0,38.0,31.0,47.0
133,2014-05-14,57.0,43.0,33.0,51.0
134,2014-05-15,63.0,85.0,32.0,54.0
135,2014-05-16,69.0,59.0,42.0,60.0
136,2014-05-17,82.0,51.0,44.0,61.0
137,2014-05-18,74.0,48.0,43.0,63.0
138,2014-05-19,64.0,34.0,27.0,53.0
139,2014-05-20,55.0,37.0,26.0,52.0
140,2014-05-21,70.0,29.0,29.0,49.0
141,2014-05-22,58.0,31.0,25.0,49.0
