temp,humidity,precip,windspeed,pressure,cloudcover,visibility,uvindex,pm25,pm10,o3,no2,Clear,Partially cloudy,Rain,Snow,Overcast,month,day_of_week,target
0,9.8,68.37,0.33,42.0,1014.5,70.2,55.1,0.0,26.0,10.0,23.0,14.0,0,1,1,0,0,1,2,0
1,10.5,78.29,11.94,35.5,1010.2,59.2,46.5,0.0,31.0,11.0,10.0,15.0,0,1,1,0,0,1,3,0
2,10.0,86.57,15.77,25.4,1015.3,88.8,30.3,0.0,36.0,7.0,15.0,11.0,0,1,1,0,0,1,4,0
3,9.5,86.54,19.85,31.4,1007.3,88.4,33.2,0.0,23.0,10.0,20.0,15.0,0,1,1,0,0,1,5,0
4,5.3,83.87,14.64,14.3,1014.0,69.0,29.0,0.0,33.0,15.0,17.0,16.0,0,1,1,0,0,1,6,0
5,8.3,65.22,0.0,38.9,1016.3,71.8,47.7,0.0,45.0,9.0,20.0,10.0,0,1,0,0,0,1,0,0
6,12.4,65.89,0.0,39.6,1019.6,73.5,53.4,0.0,24.0,12.0,21.0,11.0,0,1,0,0,0,1,1,0
7,12.9,66.29,0.0,32.5,1022.6,50.1,53.5,0.0,34.0,14.0,24.0,15.0,0,1,0,0,0,1,2,0
8,12.0,65.3,0.0,30.5,1019.2,81.9,53.7,0.0,38.0,31.0,9.0,23.0,0,1,0,0,0,1,3,0
9,7.2,86.18,0.0,6.3,1020.0,42.8,11.9,0.0,75.0,34.0,11.0,17.321428571428573,0,1,0,0,0,1,4,1
10,8.5,81.74,0.0,22.1,1020.5,74.0,22.0,0.0,93.0,35.0,5.0,17.321428571428573,0,1,0,0,0,1,5,1
11,5.8,92.52,0.0,10.0,1022.8,39.3,4.6,0.0,100.0,38.0,14.566666666666666,17.321428571428573,0,1,0,0,0,1,6,1
12,5.8,93.59,16.02,13.5,1016.6,71.2,6.2,0.0,99.0,13.0,6.0,23.0,0,1,1,0,0,1,0,1
13,5.5,89.8,9.45,8.4,1010.8,69.7,20.3,0.0,43.0,20.0,10.0,22.0,0,1,1,0,0,1,1,0
14,3.3,87.68,0.0,10.3,1014.6,53.6,16.5,0.0,57.0,11.0,14.0,20.0,0,1,0,0,0,1,2,1
15,8.4,75.6,10.58,22.4,1007.0,95.5,39.4,0.0,29.0,14.0,12.0,23.0,0,0,1,0,1,1,3,0
