temp,humidity,precip,windspeed,pressure,cloudcover,visibility,uvindex,pm25,pm10,o3,no2,Clear,Partially cloudy,Rain,Snow,Overcast,month,day_of_week,target
0,8.4,85.06,1.82,28.9,1006.1,26.7,24.8,0.0,43.0,30.0,22.0,42.0,0,1,1,0,0,1,2,0
1,9.9,81.63,4.96,29.2,1001.7,19.7,24.3,0.0,53.0,33.0,22.0,34.0,0,0,1,0,0,1,3,1
2,11.0,76.53,0.14,29.2,1006.0,20.1,20.4,0.0,50.0,28.0,23.0,41.0,0,1,1,0,0,1,4,0
3,9.1,80.53,0.67,21.5,1001.5,22.2,21.6,0.0,52.0,23.0,19.0,34.0,0,1,1,0,0,1,5,1
4,6.9,82.81,1.25,22.8,1007.5,22.8,24.0,0.0,45.0,20.0,20.0,30.0,0,1,1,0,0,1,6,0
5,11.8,83.6,0.37,27.2,1006.7,27.0,24.2,0.0,40.0,32.0,18.0,40.0,0,1,1,0,0,1,0,0
6,11.1,82.98,0.04,21.4,1013.3,24.3,24.0,0.0,54.0,41.0,12.0,51.0,0,1,1,0,0,1,1,1
7,11.1,84.93,0.44,17.3,1017.9,16.8,22.8,0.0,76.0,30.0,15.0,40.0,0,0,1,0,0,1,2,1
8,10.4,79.58,0.2,24.9,1013.5,22.4,25.0,0.0,55.0,43.0,9.0,49.0,0,1,1,0,0,1,3,1
9,5.9,90.17,0.0,11.2,1019.0,20.5,15.9,0.0,70.0,54.0,6.0,58.0,0,1,0,0,0,1,4,1
10,6.4,93.28,0.35,10.5,1020.2,17.7,7.4,0.0,112.0,42.0,6.0,37.0,0,0,1,0,0,1,5,2
11,4.3,96.9,0.0,14.8,1021.1,13.6,4.0,0.0,91.0,39.0,15.0,51.0,1,0,0,0,0,1,6,1
12,7.8,87.87,0.62,13.9,1012.2,18.0,19.1,0.0,72.0,36.0,16.0,56.0,0,0,1,0,0,1,0,1
13,5.8,81.52,0.3,19.3,1007.0,16.5,22.8,0.0,62.0,28.0,15.0,48.0,0,0,1,0,0,1,1,1
14,5.8,93.59,2.17,18.6,1007.9,27.0,13.8,0.0,66.0,23.0,21.0,46.0,0,1,1,0,0,1,2,1
15,8.5,89.04,5.43,22.9,999.5,26.8,22.2,0.0,50.0,31.0,15.0,49.0,0,1,1,0,0,1,3,0
16,8.1,77.29,3.18,24.6,999.1,19.8,26.9,0.0,59.0,36.0,6.0,47.0,0,0,1,0,0,1,4,1
17,6.9,76.87,0.0,13.4,996.5,19.1,23.9,0.0,73.0,38.0,14.0,54.0,1,0,0,0,0,1,5,1
18,7.4,85.33,1.34,9.2,997.4,25.8,17.5,0.0,81.0,47.0,5.0,60.0,0,1,1,0,0,1,6,1
19,6.5,81.86,0.6900000000000001,12.1,1007.6,26.1,19.2,0.0,79.0,35.0,14.0,44.0,0,1,1,0,0,1,0,1
20,3.1,91.6,0.0,16.5,1014.4,19.1,13.3,0.0,65.0,79.0,8.0,46.0,1,0,0,0,0,1,1,1
21,3.2,88.95,1.34,16.0,1011.9,27.0,14.4,0.0,80.0,36.0,15.0,51.0,0,1,1,0,0,1,2,1
22,6.3,89.29,1.69,19.3,1015.4,22.6,16.1,0.0,68.0,45.0,10.0,57.0,0,1,1,0,0,1,3,1
23,5.8,82.66,0.0,12.4,1016.9,26.1,26.1,0.0,72.0,32.0,25.0,41.0,0,1,0,0,0,1,4,1
24,5.5,87.89,0.9,19.4,1017.6,27.1,17.0,0.0,66.0,33.0,26.0,39.0,0,1,1,0,0,1,5,1
25,7.1,82.9,9.23,27.5,1009.7,19.1,19.5,0.0,56.0,27.0,22.0,41.0,0,0,1,0,0,1,6,1
26,5.1,76.8,0.32,23.9,998.8,18.4,39.2,0.0,46.0,30.0,15.0,44.0,0,0,1,0,0,1,0,0
27,4.9,86.27,0.64,19.3,994.4,27.0,30.1,0.0,56.0,35.0,10.0,48.0,0,1,1,0,0,1,1,1
28,4.5,90.18,2.74,16.9,992.9,27.7,18.5,0.0,74.0,46.0,3.0,49.0,0,1,1,0,0,1,2,1
29,5.6,90.68,0.05,10.1,1002.8,28.9,14.1,0.0,85.0,43.0,17.0,45.0,0,1,1,0,0,1,3,1
30,5.0,86.89,1.8,23.5,1006.2,16.5,12.2,0.0,87.0,26.0,20.0,44.0,0,0,1,0,0,1,4,1
31,7.1,81.06,9.1,26.2,1000.0,18.8,20.5,0.0,54.0,37.0,18.0,42.0,0,0,1,0,0,2,5,1
