datetime,tempmax,tempmin,temp,humidity,precip,precipcover,windspeed,pressure,cloudcover,visibility,uvindex,pm25,pm10,o3,no2,Clear,Partially cloudy,Rain,Snow,Overcast,month,day_of_week
0,2014-01-01,10.5,6.7,8.4,85.06,1.82,16.67,28.9,1006.1,26.7,24.8,0.0,43.0,30.0,22.0,42.0,0,1,1,0,0,1,2
1,2014-01-02,11.1,8.5,9.9,81.63,4.96,20.83,29.2,1001.7,19.7,24.3,0.0,53.0,33.0,22.0,34.0,0,0,1,0,0,1,3
2,2014-01-03,13.4,8.5,11.0,76.53,0.14,4.17,29.2,1006.0,20.1,20.4,0.0,50.0,28.0,23.0,41.0,0,1,1,0,0,1,4
3,2014-01-04,12.4,7.6,9.1,80.53,0.67,8.33,21.5,1001.5,22.2,21.6,0.0,52.0,23.0,19.0,34.0,0,1,1,0,0,1,5
4,2014-01-05,8.9,4.6,6.9,82.81,1.25,12.5,22.8,1007.5,22.8,24.0,0.0,45.0,20.0,20.0,30.0,0,1,1,0,0,1,6
5,2014-01-06,13.2,8.4,11.8,83.6,0.37,29.17,27.2,1006.7,27.0,24.2,0.0,40.0,32.0,18.0,40.0,0,1,1,0,0,1,0
6,2014-01-07,13.2,9.7,11.1,82.98,0.04,4.17,21.4,1013.3,24.3,24.0,0.0,54.0,41.0,12.0,51.0,0,1,1,0,0,1,1
7,2014-01-08,13.7,8.3,11.1,84.93,0.44,16.67,17.3,1017.9,16.8,22.8,0.0,76.0,30.0,15.0,40.0,0,0,1,0,0,1,2
8,2014-01-09,11.5,7.0,10.4,79.58,0.2,8.33,24.9,1013.5,22.4,25.0,0.0,55.0,43.0,9.0,49.0,0,1,1,0,0,1,3
9,2014-01-10,7.0,4.6,5.9,90.17,0.0,0.0,11.2,1019.0,20.5,15.9,0.0,70.0,54.0,6.0,58.0,0,1,0,0,0,1,4
10,2014-01-11,8.7,3.7,6.4,93.28,0.35,25.0,10.5,1020.2,17.7,7.4,0.0,112.0,42.0,6.0,37.0,0,0,1,0,0,1,5
11,2014-01-12,6.5,2.2,4.3,96.9,0.0,0.0,14.8,1021.1,13.6,4.0,0.0,91.0,39.0,15.0,51.0,1,0,0,0,0,1,6
